label_bullying,text_message
0,yeah I got 2 backups for all that. I just hate when that happen. I been strugglin for a week now...handle that tho
0,I hate using my BB  but love my iPhone. Haven't tried the new BB. My BB is provided by my corp. I don't get to pick which model
1, Get fucking real dude. and dont be a fool
1, She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...
1, why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.
1, Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.
1, WTF are you talking about Men? No men thats not a menage  that's just gay.
1,Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.
1, Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did
0,wow lol sounds like a lot of piss then hehehe
0,not a damn thang..the typical rap beef. one person worrying about what the next is doing and the other respondin etc etc
1,...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol
0,well damn!! where have you been when i have needed you 'Mother Time'
0,watching without a trace too...hate when i miss the 1st 5 minutes when the person disappears!!!!!
0,which they do most of the time:-P I don't hate them either I wanted to be one once..but I figured out I couldn't live w/ myself
1,Lmao  im watching the same thing ahaha. The gay guy is hilarious! "Dede having a good day and I dont want anyone to mess it up."
1,LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.
1,truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's
1,Shakespeare nerd! don't be a fool
1,you are SUCH a fucking dork
1,Heh. Fuck 'em WHERE?!?
1,damn it i totally forgot that one!
0,haha fuck i wish i was there :(
0,paranoid is wack as fuck...the best song on 808s is DEFINITELY Bad News
1,wow  damn I would have been pissed @ that...
1,nigga u geigh lmao! fuck yo finals beeeeeitch
0,in London  I hate thee :( ENJOY YOURSELVES!!! &lt;33333
0,lollipop lolipop...oh loli loli loli....duh duh dum dum dum *Pop* Damn  im so bad at cheeeering people up &lt;3
1,that sucks :(
1,read that this morning. my fav is how they just straight up say "cum shots"
0,You pretty sure Angel's ass is fake too huh? I hated that 'I wont answer cuz conroversy is good' shit. That means FAKE.
1,Unibroue 17 !!!! Another damn good Unibroue
1,damn your evil 60 minute IPA beckoning me from the fridge right now...
0,I hear that. I hate charging.
1,It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.
0,That sucks. My furnace started making funny noises the other day and I almost had a panic attack. I don't deal with cold well :)
1,it pretty much is a fuck you card..
1,that karma is a bitch  HUH
1,don't get too fat or you'll turn into a boomer
0,"DAMN STRAIGHT
9na :)"
0,I hate your job too.
1,the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.
1,except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?
1,man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.
1,hard to kick ass yourself with slippers on?  On it.
0,LOL! I'm not proud of my inability to deal with the cold :( I hate the treadmill too  but not as much as the cold...
0,I hate upping more than downing lol @seanzageek Its pretty awesome  AMD hasn't met release dates let alone beaten them in ages :)
0,Awesome :) I hate updating the BIOS LOL
1,Thats pretty damn awesome! Very smart :) @Aaronage Sure!
0,Looks like a good competitor :) Wouldn't touch it personally  hate Symbian and Nokia Software :) My N95 is a bitch lol
1,freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool
0,ok that sucks. Someone needs to remind them about progressive enhancment....
0,Omg that sucks  but it's SO funny
0,lol  i know what you mean. But i kinda am a nerd so yeah  but still
1,Damn  that sounds good...
1,they should have a wii loser..that way you can compete with your wii friends.
1,@markmancao haha. i love it! gay nights for all!
1,that's awesome! you're pretty damn good!
1,Please shut the fuck up!! you asshole"
1,Faggoty fag fag. Gay secks man blowjob. Settle down.
1,Right. That wouldn't be creepy as fuck.
1,HOLY SHIT. Fuck that band.
1,Gay fag.
0,I hate that bands have wardrobes.
0,that sucks dude  sorry for your loss
1,oh ok it's the dick-in-a-box guys  that explains the timberlake appearance
1,*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?
1,and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay
0,okay cool.  I can help you guys this weekend.  Those routers are a bitch to get working some times.
1, oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you
0,i hate when shows take holiday breaks. its killer to my free time.
1,where'd ya put it? o btw: "kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved"
1,It sucks to be done with exams n still be @ Mayag.
0,I'm such a pizza freak... Mmm.
1,Epic WINS for Fuck City&lt;3
1, fuck you pig
1,Please shut the fuck up!! you asshole"
1,Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol
1, aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!
1,fuck yes.  I hate them at work...
1,Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic
1,but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!
1,damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.
1,I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.
0,Oh honey  just hold in your mind the rankest thing a guy has ever done to piss you off  and you'll have bitchy in no time.
1,damn.  did you buy bitchy too?
1,then by all means  bitch away! haha.
1,sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.
1,Let that pussy freeze. Rotten bitey little bastard.
0,...okay. Maybe ONE more thing to look at on the interwebs. Damn you.
0,Damn! now I remember that people used to call you Benyl! forgot that little detail  you see
1,Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.
1,hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.
1,I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa
1,imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!
0,pretty much all bus drivers are fat... Besides Flavio.
1,Ugh  twitter stop it  you fucking slut.
1,HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH
0,http://twitpic.com/sbrn - we hate you phil. doesnt TV want you yet?
1,cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha
1,Fuck the pics! @giove_dea WE WANT VIDS!!
1,Hard to play because it is damn fucking awful
1,you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time
1,no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol
0,Thanks  Yeah shes fine they have her sedated..we hate hospitals so she was being a bit rude. So they knocked he out!
1,oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.
1,you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  "I'd hate to be a bird."
1,I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.
0,hate friendfeed...especially since Scoble endorses it :)
1,Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!
1,FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!
0,damn. oh well. i'll have to go find someone who's trained or something...wait  my WIFE is getting trained. now THAT's an idea!
0,You're going too? Fun.  @JesusNeedsNewPR I hate job hunting
0,damn . . . now I really  REALLY want breakfast food!
1,another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!
0,ughhh that sucks!!!!   How'd you get back from Sterling?
1,there's nothing better than listening to music on shuffle and hearing you say "you bitch!" randomly in the middle of it.
0,I hate it. Horrible stuff.
1,I got it. How many damn websites do u have homie! Sheesh!
1,U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!
1, kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!
0,That sucks. Poor baby Andy. Hope he gets better.
0,OMG again eating :P yaar u eat alot but u don't look so fat what is the sceen behind this :S
1,haris i m trying to control my fat tummy did'nt eat from 2 days :D
1,Please shut the fuck up!! you asshole"
0,wx in ny sucks! haha lots of snowww and blowing wind!
1,700. you glutinous bitch!
0,LULZ is gay!
1,Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad)
1,So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!
1,lo thankyou.. will see you soon :) and i hav to send a mail to u damn!
0,Fuck yeah! :P Where've you been ...?
1,Have you tried 'fuck' and 'Fuck'? (yes  they are different)
1,Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.
1,damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol
1,that sucks... she should prolly just change her major lol
1,that sucks... so are there plans to get back together? or are they done?
1,you are a fatty fat fat
0,I HATE when that happens!
1,you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!
1,Please shut the fuck up!! you asshole"
1,they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.
1,no one likes every fat snack u do bitch! so shaddup ahahahahaha
1,stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!
1,ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???
1,'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!
1,OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;)
0,What I HATE are white collars on colored shirts.
0,that sucks. Where are you trying to watch it?
1,mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL
1,lol @ "the bitch". damn.
1, shut the fuck up
1,damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.
1,Slurpees are awesome. Damn  now I really really want one O.o
1,I can see it now. "Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!
0,lol I hate you. And by hate  I mean love  but I still hate you XD
1,i loved it  i laughed my ass off
1,ahh  you might be on to something...damn techies
1,The pig of shame? Lol! Is that like the aardvark of discontent?
1,Still - it's damn moronic that media people can't access media - particularly media made by their own company!
1,if anyone said Arial I'm gonna beat their ass.
1,well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.
1,Tell her she says Bitch like it's a bad thing
1,I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon
0,my time sucks... having a difficult time MANAGING w/o the structure of college classes but I really want to work w/ you on it
1,Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p
1,You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.
1,Damn  you're totally geeking out on us tonite.
0,Ha! If I were your neighbor  you'd be tweeting about that bitch next door with the loud music. Admit it.
0,Stumped on that one...hate to admit it!
0,Well  well  well...damn that sounds fantastic LOL I'm sorry  what exactly was it that you wanted?
1,the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.
0,ugh that sucks babe
1,we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...
0,damn straight! Happy birthday Maddie!!! Xoxoxo.
